JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2441647.5270,7.3,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5310,7.4,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5340,7.5,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5380,7.4,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5410,7.3,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5450,7.2,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5480,7.1,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5520,7.0,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5550,6.9,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5590,6.8,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5620,6.7,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5630,6.6,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5650,6.75,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5690,6.8,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5760,6.9,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5790,7.0,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5830,7.1,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2441647.5860,7.2,,,Vis.,GAJ,,NA,,NA,TIME USED: HUSO XXI; 110MM ZEISS REFRACTOR,,,Z,,,,SX PHE,,STD,,,,
2444873.577,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.583,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.594,7.1,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.603,7.1,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.612,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.618,7.4,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.625,7.4,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.633,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.64,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444873.648,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.439,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.444,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.45,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.453,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.454,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.458,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.462,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.467,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.471,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.476,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.48,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.484,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.488,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.492,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.497,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.501,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.505,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.509,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.513,7.1,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.517,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.522,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.524,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.526,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.528,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.531,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.535,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.539,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.543,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.547,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.552,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.556,7.4,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.56,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.565,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.567,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.568,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.569,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.57,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.571,6.8,,,Vis.,TOO,,,,JT111081,C = HD221241 = 6.8; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.572,6.6,,,Vis.,TOO,,,,JT111081,B = HD221370 = 6.6; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.572,6.8,,,Vis.,TOO,,,,JT111081,C = HD221241 = 6.8; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.573,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.574,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.574,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.575,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.576,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.578,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.58,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.583,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.587,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.592,7.4,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.596,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.6,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.604,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.608,7.3,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.612,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.617,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.621,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.624,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.625,7.0,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.626,6.9,,,Vis.,TOO,,,,JT111081,"""C = HD221241 = 6.8, D = HD222576 = 7.1; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.628,7.1,,,Vis.,TOO,,,,JT111081,E = HD222837 = 7.5; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.63,7.2,,,Vis.,TOO,,,,JT111081,E = HD222837 = 7.5; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.632,7.1,,,Vis.,TOO,,,,JT111081,D = HD222576 = 7.1; Gran Canaria; B12X50,,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.635,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2444875.638,7.2,,,Vis.,TOO,,,,JT111081,"""D = HD222576 = 7.1, E = HD222837 = 7.5; Gran Canaria; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.25,7.0,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.253,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.256,7.0,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.26,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.265,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.269,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.273,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.278,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445229.283,7.0,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445234.231,6.9,,,Vis.,TOO,,,,JT111081,"""B = HD221370 = 6.6, D = HD222576 = 7.1; Kadoma, Zimbabwe; B12X50""",,,Z,,,,SX PHE,BAA-VSS,STD,,,,BAAVSS
2445964.5707,7.3,,,Vis.,PAO,,,,,,,,V,,,,SX PHE,,STD,,,,
2445969.2681,7.4,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2694,7.5,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2708,7.6,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2722,7.7,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2743,7.8,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2750,8.0,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
2445969.2764,8.0,,,Vis.,HEN,K,,,,,,,V,,,,SX PHE,AFOEV,STD,,,,
